red_fighter_name;blue_fighter_name;date;red_fighter_total_pts;blue_fighter_total_pts
ISRAEL ADESANYA;SEAN STRICKLAND;09/10/2023;['46', '46', '46'];['49', '49', '49']
XIAO LONG;CHANG HO LEE;06/22/2024;['29', '28', '28'];['28', '29', '29']
CHEYANNE BUYS;MONTSERRAT CONEJO;03/20/2021;['28', '27', '28'];['29', '29', '29']
LOUIS COSCE;SASHA PALATNIKOV;11/21/2020;['18', '18', '19'];['20', '20', '19']
DA-UN JUNG;WILLIAM KNIGHT;04/10/2021;['30', '30', '30'];['26', '26', '27']
RAUL ROSAS JR.;RICKY TURCIOS;06/08/2024;['9', '10', '9'];['10', '9', '10']
JACK JENKINS;CHEPE MARISCAL;09/10/2023;['10', '10', '10'];['9', '9', '9']
RAONI BARCELOS;KHALID TAHA;11/07/2020;['30', '30', '30'];['27', '27', '27']
RANDA MARKOS;KANAKO MURATA;11/14/2020;['27', '27', '27'];['30', '30', '30']
KEVIN HOLLAND;MICHAL OLEKSIEJCZUK;06/01/2024;['-', '-', '-'];['-', '-', '-']
WALDO CORTES-ACOSTA;JARED VANDERAA;10/29/2022;['29', '29', '30'];['28', '28', '27']
DANAA;KEVIN NATMIDAD;04/24/2021;['10', '8', '10'];['8', '10', '8']
KAI KAMAKA;TJ BROWN;05/01/2021;['28', '28', '30'];['29', '29', '27']
POLYANA VIANA;INH YUFREY;11/05/2022;['-', '-', '-'];['-', '-', '-']
CHIDI NJOKUANI;MICHAL OLEKSIEJCZUK;08/26/2023;['-', '-', '-'];['-', '-', '-']
KEVIN HOLLAND;ALEX OLIVEIRA;03/05/2022;['9', '9', '9'];['10', '10', '10']
NEIL MAGNY;DANIEL RODRIGUEZ;11/05/2022;['19', '19', '19'];['19', '19', '19']
FERNIE GARCIA;HYDER AMIL;02/10/2024;['8', '8', '8'];['10', '10', '10']
DOUGLAS SILVA DE;SAID NURMAGOMEDOV;07/09/2022;['27', '28', '28'];['30', '29', '29']
LUDOVIT KLEIN;A CUNNINGHAM;03/02/2024;['-', '-', '-'];['-', '-', '-']
DUSTIN JACOBY;MAXIM GRISHIN;02/27/2021;['29', '29', '29'];['28', '28', '28']
ION CUTELABA;PHILIPE LINS;03/09/2024;['28', '28', '28'];['29', '29', '29']
DAVID ONAMA;GARRETT ARMFIELD;07/09/2022;['10', '10', '10'];['9', '9', '9']
TREVIN GILES;CARLOS PRATES;02/10/2024;['10', '10', '10'];['9', '9', '9']
JAQUELINE AMORIM;CORY MCKENNA;03/16/2024;['-', '-', '-'];['-', '-', '-']
DAN IGE;GAVIN TUCKER;03/13/2021;['-', '-', '-'];['-', '-', '-']
RANI YAHYA;RAY RODRIGUEZ;03/13/2021;['10', '10', '10'];['9', '9', '9']
CORY MCKENNA;MIRANDA GRANGER;08/06/2022;['10', '10', '10'];['9', '9', '9']
ADRIAN YANEZ;RANDY COSTA;07/24/2021;['9', '9', '9'];['10', '10', '10']
KHALID TAHA;SERGEY MOROZOV;07/1/2021;['27', '27', '27'];['30', '30', '30']
MAGOMED ANKALAEV;ANTHONY SMITH;07/30/2022;['10', '10', '10'];['9', '9', '9']
LAUREN MURPHY;MIESHA TATE;07/16/2022;['30', '29', '30'];['27', '28', '27']
EVAN ELDER;DARRIUS FLOWERS;07/13/2024;['10', '10', '10'];['9', '9', '9']
BRAD KATONA;CODY GIBSON;08/19/2023;['29', '30', '29'];['28', '27', '28']
RONG ZHU;CHRIS PADILLA;09/07/2024;['9', '9', '10'];['10', '10', '9']
NEIL MAGNY;IAN GARRY;08/19/2023;['26', '26', '24'];['30', '30', '30']
CALVIN KATTAR;GIGA CHIKADZE;01/15/2022;['50', '50', '50'];['45', '45', '44']
LOIK RADZHABOV;TREY OGDEN;07/20/2024;['28', '27', '28'];['29', '30', '29']
DERRICK LEWIS;TAI TUIVASA;02/12/2022;['10', '10', '10'];['9', '9', '9']
ODE OSBOURNE;ASSUALMABAYE;08/05/2023;['9', '9', '9'];['10', '10', '10']
AUGUSTO SAKAI;TAI TUIVASA;12/11/2021;['9', '9', '9'];['10', '10', '10']
NEIL MAGNY;MAX GRIFFIN;03/26/2022;['29', '28', '29'];['28', '29', '28']
MATHEUS NICOLAU;DAVID DVORAK;03/26/2022;['29', '29', '29'];['28', '28', '28']
MANEL KAPE;ZHALGAS ZHUMAGULOV;12/04/2021;['-', '-', '-'];['-', '-', '-']
ANDREI ARLOVSKI;MARTIN BUDAY;06/29/2024;['28', '29', '27'];['29', '28', '30']
STEVEN PETERSON;LUCAS ALEXANDER;03/25/2023;['27', '27', '27'];['30', '30', '30']
BRIAN ORTEGA;DIEGO LOPES;09/14/2024;['26', '27', '27'];['30', '30', '30']
RAUL ROSAS JR.;CHRISTIAN RODRIGUEZ;04/08/2023;['28', '27', '28'];['29', '29', '29']
NASSOURDINE IMAVOV;BRENDAN ALLEN;09/28/2024;['29', '29', '29'];['28', '28', '28']
SIJARA EUBANKS;MELISSA GATTO;12/18/2021;['19', '19', '19'];['19', '19', '19']
BOLAJI OKI;CHRIS DUNCAN;09/28/2024;['-', '-', '-'];['-', '-', '-']
KRIS MOUTINHO;GUIDO CANNETTI;03/12/2022;['-', '-', '-'];['-', '-', '-']
DANIEL PINEDA;TUCKER LUTZ;03/25/2023;['10', '10', '9'];['9', '9', '10']
COURT MCGEE;TIM MEANS;10/05/2024;['-', '-', '-'];['-', '-', '-']
ROB FONT;ADRIAN YANEZ;04/08/2023;['-', '-', '-'];['-', '-', '-']
CLAYTON CARPENTER;LUCAS ROCHA;10/12/2024;['10', '10', '10'];['9', '9', '9']
MATT BROWN;BRYAN BARBERENA;03/26/2022;['28', '29', '28'];['29', '28', '29']
PEDRO MUNHOZ;CHRIS GUTIERREZ;04/15/2023;['30', '30', '30'];['27', '27', '27']
ANDRE MUNIZ;ERYK ANDERS;12/11/2021;['-', '-', '-'];['-', '-', '-']
CHEYANNE VLISMAS;MALLORY MARTIN;12/04/2021;['29', '29', '30'];['28', '28', '27']
ALIASKHAB KHIZRIEV;DENIS TIULIULIN;03/26/2022;['10', '10', '10'];['9', '9', '9']
MUHAMMAD MOKAEV;MANEL KAPE;07/27/2024;['29', '30', '29'];['28', '27', '28']
ANDREA LEE;NATALIA SILVA;08/19/2023;['27', '27', '27'];['30', '30', '30']
LUANA SANTOS;MARIYA AGAPOVA;07/13/2024;['-', '-', '-'];['-', '-', '-']
BRIAN KELLEHER;CODY GIBSON;07/20/2024;['-', '-', '-'];['-', '-', '-']
BRANDON ROYVAL;ROGERIO BONTORIN;01/15/2022;['29', '28', '29'];['28', '29', '28']
MARLON VERA;PEDRO MUNHOZ;08/19/2023;['30', '30', '29'];['27', '27', '28']
ERIK SILVA;MUHAMMAD NAIMOV;02/24/2024;['-', '-', '-'];['-', '-', '-']
URIAH HALL;SEAN STRICKLAND;07/31/2021;['44', '46', '45'];['50', '49', '50']
DARREN ELKINS;DARRICK MINNER;07/24/2021;['9', '9', '9'];['10', '10', '10']
JULIANNA PENA;AMANDA NUNES;07/30/2022;['45', '43', '44'];['50', '50', '50']
DREW DOBER;RAFAEL ALVES;07/30/2022;['19', '20', '19'];['19', '18', '19']
DANIEL RODRIGUEZ;PRESTON PARSONS;07/17/2021;['-', '-', '-'];['-', '-', '-']
MANEL KAPE;MATHEUS NICOLAU;03/13/2021;['29', '28', '28'];['28', '29', '29']
LEON EDWARDS;COLBY COVINGTON;12/16/2023;['49', '49', '49'];['46', '46', '46']
CORTNEY CASEY;JJ ALDRICH;03/13/2021;['28', '28', '29'];['29', '29', '28']
BRANDON MORENO;BRANDON ROYVAL;02/24/2024;['47', '49', '47'];['48', '46', '48']
RAFAEL DOS ANJOS;RAFAEL FIZIEV;07/09/2022;['38', '37', '37'];['38', '39', '39']
MAX GRIFFIN;JEREMIAH WELLS;02/10/2024;['29', '28', '29'];['28', '29', '28']
MICHAEL JOHNSON;DARRIUS FLOWERS;02/10/2024;['30', '30', '30'];['27', '27', '27']
CODY BRUNDAGE;TRESEAN GORE;07/09/2022;['-', '-', '-'];['-', '-', '-']
ROBELIS DESPAIGNE;JOSH PARISIAN;03/09/2024;['-', '-', '-'];['-', '-', '-']
