red_fighter_name;blue_fighter_name;event_date
YAIR RODRIGUEZ;JOSH EMMETT;11/02/2023
JACK DELLA MADDALENA;RANDY BROWN;11/02/2023
JUSTIN TAFA;PARKER PORTER;11/02/2023
TYSON PEDRO;MODESTAS BUKAUSKAS;11/02/2023
JOSH CULIBAO;MELSIK BAGHDASARYAN;11/02/2023
SHANNON ROSS;KLEYDSON RODRIGUES;11/02/2023
JAMIE MULLARKEY;FRANCISCO PRADO;11/02/2023
JACK JENKINS;DON SHAINIS;11/02/2023
LOMA LOOKBOONMEE;ELISE REED;11/02/2023
SHANE YOUNG;BLAKE BILDER;11/02/2023
ZUBAIRA TUKHUGOV;ELVES BRENER;11/02/2023
JEONGYEONG LEE;YIZHA;04/02/2023
TOSHIOMI KAZAMA;RINYA NAKAMURA;04/02/2023
SEUNGGUK CHOI;HYUNSUNG PARK;04/02/2023
THIAGO MOISES;MELQUIZAEL COSTA;21/01/2023
SHAMIL ABDURAKHIMOV;JAILTON ALMEIDA;21/01/2023
DREW DOBER;KING GREEN;17/12/2022
CODY BRUNDAGE;MICHAL OLEKSIEJCZUK;17/12/2022
CHEYANNE VLISMAS;CORY MCKENNA;17/12/2022
DAVID DVORAK;MANEL KAPE;17/12/2022
SERGEY MOROZOV;JOURNEY NEWSON;17/12/2022
DARREN TILL;DRICUS DU PLESSIS;10/12/2022
BRYCE MITCHELL;ILIA TOPURIA;10/12/2022
RAUL ROSAS JR.;JAY PERRIN;10/12/2022
BRADY HIESTAND;FERNIE GARCIA;19/11/2022
NATALIA SILVA;TEREZA BLEDA;19/11/2022
ISRAEL ADESANYA;ALEX PEREIRA;12/11/2022
ANDRE PETROSKI;WELLINGTON TURMAN;12/11/2022
KAROLINA KOWALKIEWICZ;SILVANA GOMEZ JUAREZ;12/11/2022
MICHAEL TRIZANO;SEUNGWOO CHOI;12/11/2022
CARLOS ULBERG;NICOLAE NEGUMEREANU;12/11/2022
MARINA RODRIGUEZ;AMANDA LEMOS;05/11/2022
POLYANA VIANA;JINH YU FREY;05/11/2022
LIUDVIK SHOLINIAN;JOHNNY MUNOZ;05/11/2022
CHARLES OLIVEIRA;ISLAM MAKHACHEV;22/10/2022
ALJAMAIN STERLING;TJ DILLASHAW;22/10/2022
PETR YAN;SEAN O'MALLEY;22/10/2022
BENEIL DARIUSH;MATEUSZ GAMROT;22/10/2022
KATLYN CERMINARA;MANON FIOROT;22/10/2022
BELAL MUHAMMAD;SEAN BRADY;22/10/2022
MAKHMUD MURADOV;CAIO BORRALHO;22/10/2022
VOLKAN OEZDEMIR;NIKITA KRYLOV;22/10/2022
ABUBAKAR NURMAGOMEDOV;GADZHI OMARGADZHIEV;22/10/2022
ARMEN PETROSYAN;AJ DOBSON;22/10/2022
MUHAMMAD MOKAEV;MALCOLM GORDON;22/10/2022
KAROL ROSA;LINA LANSBERG;22/10/2022
CUB SWANSON;JONATHAN MARTINEZ;15/10/2022
TATSURO TAIRA;CJ VERGARA;15/10/2022
RAONI BARCELOS;TREVIN JONES;01/10/2022
NIKOLAS MOTTA;CAMERON VANCAMP;17/09/2022
CHAD ANHELIGER;ALATENGHEILI;10/09/2022
DANIEL LACERDA;VICTOR ALTAMIRANO;20/08/2022
PRISCILA CACHOEIRA;ARIANE DA SILVA;13/08/2022
ALEXANDRE PANTOJA;ALEX PEREZ;30/07/2022
PADDY PIMBLETT;JORDAN LEAVITT;23/07/2022
NIKITA KRYLOV;ALEXANDER GUSTAFSSON;23/07/2022
MOLLY MCCANN;HANNAH GOLDY;23/07/2022
MARC DIAKIESE;DAMIR HADZOVIC;23/07/2022
MAKWAN AMIRKHANI;JONATHAN PEARCE;23/07/2022
MUHAMMAD MOKAEV;CHARLES JOHNSON;23/07/2022
