red_fighter_name;blue_fighter_name;event_date;red_fighter_nickname;blue_fighter_nickname;red_fighter_result;blue_fighter_result;method;round;time;time_format;referee;details;bout_type;bonus;event_name;event_location;red_fighter_KD;blue_fighter_KD;red_fighter_sig_str;blue_fighter_sig_str;red_fighter_sig_str_pct;blue_fighter_sig_str_pct;red_fighter_total_str;blue_fighter_total_str;red_fighter_TD;blue_fighter_TD;red_fighter_TD_pct;blue_fighter_TD_pct;red_fighter_sub_att;blue_fighter_sub_att;red_fighter_rev;blue_fighter_rev;red_fighter_ctrl;blue_fighter_ctrl;red_fighter_sig_str_head;blue_fighter_sig_str_head;red_fighter_sig_str_body;blue_fighter_sig_str_body;red_fighter_sig_str_leg;blue_fighter_sig_str_leg;red_fighter_sig_str_distance;blue_fighter_sig_str_distance;red_fighter_sig_str_clinch;blue_fighter_sig_str_clinch;red_fighter_sig_str_ground;blue_fighter_sig_str_ground;red_fighter_sig_str_head_pct;blue_fighter_sig_str_head_pct;red_fighter_sig_str_body_pct;blue_fighter_sig_str_body_pct;red_fighter_sig_str_leg_pct;blue_fighter_sig_str_leg_pct;red_fighter_sig_str_distance_pct;blue_fighter_sig_str_distance_pct;red_fighter_sig_str_clinch_pct;blue_fighter_sig_str_clinch_pct;red_fighter_sig_str_ground_pct;blue_fighter_sig_str_ground_pct
Cheyanne Vlismas;Cory McKenna;December 17, 2022;The Warrior Princess;Poppins;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;Derek Cleary 28 - 29. Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29.;Women's Strawweight Bout;-;UFC Fight Night: Cannonier vs. Strickland;Las Vegas, Nevada, USA;0;0;33 of 74;22 of 81;44;27;66 of 113;103 of 216;0 of 0;2 of 3;---;66;1;0;0;0;0:03;9:41;20 of 54;17 of 72;8 of 13;3 of 7;5 of 7;2 of 2;23 of 63;18 of 76;3 of 3;2 of 3;7 of 8;2 of 2;60;77;24;13;15;9;69;81;9;9;21;9
Jake Matthews;Matthew Semelsberger;December 17, 2022;The Celtic Kid;Semi The Jedi;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;Ron McCarthy 27 - 30. Mike Bell 28 - 29. Chris Lee 28 - 29.;Welterweight Bout;-;UFC Fight Night: Cannonier vs. Strickland;Las Vegas, Nevada, USA;0;3;32 of 89;45 of 116;35;38;74 of 140;54 of 129;1 of 2;3 of 5;50;60;1;0;0;0;1:42;4:16;23 of 77;34 of 89;6 of 9;7 of 18;3 of 3;4 of 9;30 of 85;26 of 80;2 of 3;6 of 7;0 of 1;13 of 29;71;75;18;15;9;8;93;57;6;13;0;28
Said Nurmagomedov;Saidyokub Kakhramonov;December 17, 2022;;;W;L;Submission;2;3:50;3 Rnd (5-5-5);Keith Peterson;Guillotine Choke On Ground;Bantamweight Bout;-;UFC Fight Night: Cannonier vs. Strickland;Las Vegas, Nevada, USA;0;0;7 of 18;11 of 30;38;36;21 of 34;32 of 65;0 of 2;5 of 12;0;41;3;1;0;0;0:25;7:52;3 of 12;8 of 27;3 of 5;3 of 3;1 of 1;0 of 0;3 of 12;5 of 10;4 of 6;0 of 1;0 of 0;6 of 19;42;72;42;27;14;0;42;45;57;0;0;54
Rafa Garcia;Maheshate;December 17, 2022;Gifted;;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;Mike Bell 27 - 30. Derek Cleary 27 - 30. Chris Lee 27 - 30.;Lightweight Bout;-;UFC Fight Night: Cannonier vs. Strickland;Las Vegas, Nevada, USA;0;0;49 of 98;25 of 141;50;17;79 of 138;30 of 148;6 of 11;0 of 0;54;---;0;0;0;0;6:10;0:00;29 of 70;16 of 110;11 of 17;8 of 29;9 of 11;1 of 2;28 of 64;23 of 138;11 of 13;1 of 2;10 of 21;1 of 1;59;64;22;32;18;4;57;92;22;4;20;4
Bryan Battle;Rinat Fakhretdinov;December 17, 2022;The Butcher;Gladiator;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;Adalaide Byrd 25 - 30. Junichiro Kamijo 25 - 30. Ron McCarthy 27 - 30.;Welterweight Bout;-;UFC Fight Night: Cannonier vs. Strickland;Las Vegas, Nevada, USA;0;1;3 of 16;43 of 68;18;63;25 of 42;102 of 149;0 of 1;7 of 9;0;77;0;0;0;0;0:00;14:11;1 of 11;38 of 62;1 of 4;2 of 3;1 of 1;3 of 3;3 of 16;8 of 11;0 of 0;2 of 3;0 of 0;33 of 54;33;88;33;4;33;6;100;18;0;4;0;76
David Dvorak;Manel Kape;December 17, 2022;Undertaker;StarBoy;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;Derek Cleary 27 - 30. Sal D'amato 27 - 30. Anthony Maness 28 - 29.;Flyweight Bout;-;UFC Fight Night: Cannonier vs. Strickland;Las Vegas, Nevada, USA;0;1;33 of 94;58 of 119;35;48;55 of 122;67 of 136;2 of 3;0 of 0;66;---;0;2;0;1;2:42;0:57;17 of 68;33 of 85;6 of 12;19 of 26;10 of 14;6 of 8;31 of 91;44 of 99;1 of 2;5 of 5;1 of 1;9 of 15;51;56;18;32;30;10;93;75;3;8;3;15
Sergey Morozov;Journey Newson;December 17, 2022;;;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;Mike Bell 27 - 30. Adalaide Byrd 28 - 29. Ron McCarthy 28 - 29.;Bantamweight Bout;-;UFC Fight Night: Cannonier vs. Strickland;Las Vegas, Nevada, USA;0;0;30 of 105;26 of 106;28;24;65 of 145;49 of 136;6 of 13;0 of 2;46;0;0;0;0;0;6:59;0:00;7 of 76;10 of 78;8 of 12;7 of 14;15 of 17;9 of 14;16 of 88;25 of 104;9 of 11;1 of 2;5 of 6;0 of 0;23;38;26;26;50;34;53;96;30;3;16;0
Paddy Pimblett;Jared Gordon;December 10, 2022;The Baddy;Flash;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;Doug Crosby 28 - 29. Chris Lee 28 - 29. Ron McCarthy 28 - 29.;Lightweight Bout;-;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;0;0;63 of 155;60 of 103;40;58;97 of 194;100 of 143;0 of 3;3 of 6;0;50;0;0;0;0;0:35;6:28;33 of 122;32 of 62;13 of 16;14 of 27;17 of 17;14 of 14;54 of 139;53 of 94;8 of 15;5 of 6;1 of 1;2 of 3;52;53;20;23;26;23;85;88;12;8;1;3
Santiago Ponzinibbio;Alex Morono;December 10, 2022;Argentine Dagger;The Great White;W;L;KO/TKO;3;2:29;3 Rnd (5-5-5);Jason Herzog;Punches to Head At Distance;Catch Weight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;1;1;66 of 155;38 of 131;42;29;66 of 155;38 of 131;0 of 1;0 of 0;0;---;0;0;0;0;0:01;0:08;31 of 99;34 of 120;26 of 47;4 of 11;9 of 9;0 of 0;65 of 153;34 of 124;0 of 0;0 of 0;1 of 2;4 of 7;46;89;39;10;13;0;98;89;0;0;1;10
Darren Till;Dricus Du Plessis;December 10, 2022;The Gorilla;Stillknocks;L;W;Submission;3;2:43;3 Rnd (5-5-5);Mark Smith;Neck Crank From Back Control;Middleweight Bout;fight;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;0;0;35 of 70;86 of 147;50;58;58 of 94;117 of 197;1 of 1;6 of 6;100;100;0;3;1;0;0:23;5:33;26 of 57;69 of 123;6 of 9;4 of 7;3 of 4;13 of 17;29 of 60;28 of 59;1 of 1;25 of 40;5 of 9;33 of 48;74;80;17;4;8;15;82;32;2;29;14;38
Bryce Mitchell;Ilia Topuria;December 10, 2022;Thug Nasty;El Matador;L;W;Submission;2;3:10;3 Rnd (5-5-5);Marc Goddard;Arm Triangle From Side Control;Featherweight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;0;1;36 of 82;40 of 77;43;51;46 of 94;53 of 93;1 of 9;0 of 0;11;---;0;1;0;0;1:29;1:18;22 of 57;34 of 63;11 of 22;5 of 13;3 of 3;1 of 1;34 of 79;29 of 64;1 of 1;3 of 4;1 of 2;8 of 9;61;85;30;12;8;2;94;72;2;7;2;20
Raul Rosas Jr.;Jay Perrin;December 10, 2022;El Nino Problema;The Joker;W;L;Submission;1;2:44;3 Rnd (5-5-5);Herb Dean;Neck Crank From Back Control;Bantamweight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;0;0;3 of 7;4 of 8;42;50;9 of 14;4 of 8;2 of 3;0 of 0;66;---;2;0;0;0;2:12;0:00;2 of 5;3 of 7;0 of 0;0 of 0;1 of 2;1 of 1;3 of 7;4 of 8;0 of 0;0 of 0;0 of 0;0 of 0;66;75;0;0;33;25;100;100;0;0;0;0
Jairzinho Rozenstruik;Chris Daukaus;December 10, 2022;Bigi Boy;;W;L;KO/TKO;1;0:23;3 Rnd (5-5-5);Mark Smith;Punch to Head At Distance;Heavyweight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;1;0;12 of 21;1 of 1;57;100;12 of 21;1 of 1;0 of 0;0 of 0;---;---;0;0;0;0;0:06;0:00;12 of 21;1 of 1;0 of 0;0 of 0;0 of 0;0 of 0;9 of 16;1 of 1;0 of 1;0 of 0;3 of 4;0 of 0;100;100;0;0;0;0;75;100;0;0;25;0
Edmen Shahbazyan;Dalcha Lungiambula;December 10, 2022;The Golden Boy;Champion;W;L;KO/TKO;2;4:41;3 Rnd (5-5-5);Chris Tognoni;Punches to Head On Ground;Middleweight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;0;0;54 of 107;23 of 48;50;47;60 of 113;26 of 51;0 of 0;0 of 4;---;0;0;0;0;0;1:08;0:15;31 of 78;6 of 24;20 of 25;11 of 18;3 of 4;6 of 6;37 of 72;22 of 46;7 of 10;1 of 2;10 of 25;0 of 0;57;26;37;47;5;26;68;95;12;4;18;0
Chris Curtis;Joaquin Buckley;December 10, 2022;Action-Man;New Mansa;W;L;KO/TKO;2;2:49;3 Rnd (5-5-5);Jason Herzog;Punch to Head In Clinch;Middleweight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;1;0;36 of 87;50 of 163;41;30;36 of 87;50 of 163;0 of 0;0 of 0;---;---;0;0;0;0;0:06;0:00;25 of 72;27 of 134;3 of 5;15 of 20;8 of 10;8 of 9;29 of 78;48 of 159;1 of 1;2 of 4;6 of 8;0 of 0;69;54;8;30;22;16;80;96;2;4;16;0
Billy Quarantillo;Alexander Hernandez;December 10, 2022;;The Great Ape;W;L;KO/TKO;2;4:30;3 Rnd (5-5-5);Chris Tognoni;Punches to Head At Distance;Featherweight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;0;0;87 of 151;48 of 94;57;51;127 of 194;59 of 105;2 of 4;2 of 6;50;33;0;1;0;0;1:20;4:08;61 of 123;33 of 70;17 of 18;5 of 9;9 of 10;10 of 15;52 of 109;34 of 74;21 of 22;8 of 11;14 of 20;6 of 9;70;68;19;10;10;20;59;70;24;16;16;12
TJ Brown;Erik Silva;December 10, 2022;Downtown;The King;W;L;Submission;3;3:41;3 Rnd (5-5-5);Mark Smith;Arm Triangle From Side Control;Featherweight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;0;0;24 of 38;21 of 29;63;72;82 of 109;32 of 42;2 of 7;3 of 4;28;75;1;0;2;1;9:43;2:35;20 of 33;12 of 19;4 of 5;6 of 7;0 of 0;3 of 3;13 of 25;13 of 20;6 of 7;7 of 7;5 of 6;1 of 2;83;57;16;28;0;14;54;61;25;33;20;4
Cameron Saaiman;Steven Koslow;December 10, 2022;MSP;Obi Won Shinobi The Pillow;W;L;KO/TKO;3;4:13;3 Rnd (5-5-5);Chris Tognoni;Punches to Head At Distance;Bantamweight Bout;perf;UFC 282: Blachowicz vs. Ankalaev;Las Vegas, Nevada, USA;0;0;53 of 89;11 of 29;59;37;105 of 149;20 of 42;0 of 0;5 of 9;---;55;0;1;6;2;6:29;4:40;38 of 69;8 of 25;9 of 14;1 of 2;6 of 6;2 of 2;23 of 50;8 of 21;9 of 11;1 of 3;21 of 28;2 of 5;71;72;16;9;11;18;43;72;16;9;39;18
Stephen Thompson;Kevin Holland;December 03, 2022;Wonderboy;Trailblazer;W;L;KO/TKO;4;5:00;5 Rnd (5-5-5-5-5);Dan Miragliotta;to Corner Stoppage;Welterweight Bout;fight;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;163 of 260;119 of 210;62;56;178 of 278;123 of 214;0 of 0;2 of 6;---;33;0;0;0;0;0:47;1:21;103 of 192;52 of 131;42 of 49;23 of 29;18 of 19;44 of 50;150 of 241;97 of 187;13 of 19;22 of 23;0 of 0;0 of 0;63;43;25;19;11;36;92;81;7;18;0;0
Bryan Barberena;Rafael Dos Anjos;December 03, 2022;Bam Bam;;L;W;Submission;2;3:20;3 Rnd (5-5-5);Marc Goddard;Rear Naked Choke;Welterweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;14 of 29;20 of 25;48;80;61 of 79;36 of 41;0 of 0;4 of 6;---;66;0;2;0;0;0:35;6:36;6 of 18;3 of 8;4 of 6;17 of 17;4 of 5;0 of 0;10 of 25;3 of 8;2 of 2;3 of 3;2 of 2;14 of 14;42;15;28;85;28;0;71;15;14;15;14;70
Matheus Nicolau;Matt Schnell;December 03, 2022;;Danger;W;L;KO/TKO;2;1:44;3 Rnd (5-5-5);Keith Peterson;Punch to Head At Distance;Flyweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;2;0;32 of 42;20 of 59;76;33;40 of 50;29 of 68;1 of 1;0 of 0;100;---;0;0;0;0;0:47;0:00;23 of 31;16 of 50;6 of 7;3 of 7;3 of 4;1 of 2;18 of 25;20 of 59;0 of 0;0 of 0;14 of 17;0 of 0;71;80;18;15;9;5;56;100;0;0;43;0
Tai Tuivasa;Sergei Pavlovich;December 03, 2022;Bam Bam;;L;W;KO/TKO;1;0:54;3 Rnd (5-5-5);Dan Miragliotta;Punches to Head At Distance;Heavyweight Bout;perf;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;2;2 of 10;23 of 44;20;52;2 of 10;23 of 44;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:09;2 of 9;23 of 43;0 of 0;0 of 1;0 of 1;0 of 0;2 of 10;16 of 32;0 of 0;1 of 4;0 of 0;6 of 8;100;100;0;0;0;0;100;69;0;4;0;26
Jack Hermansson;Roman Dolidze;December 03, 2022;The Joker;;L;W;KO/TKO;2;4:06;3 Rnd (5-5-5);Marc Goddard;Punches to Head On Ground;Middleweight Bout;perf;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;47 of 79;25 of 54;59;46;48 of 80;39 of 73;2 of 3;0 of 0;66;---;0;3;0;0;1:52;0:30;16 of 41;23 of 51;11 of 16;2 of 3;20 of 22;0 of 0;43 of 74;12 of 38;3 of 4;1 of 1;1 of 1;12 of 15;34;92;23;8;42;0;91;48;6;4;2;48
Eryk Anders;Kyle Daukaus;December 03, 2022;Ya Boi;;W;L;KO/TKO;2;2:45;3 Rnd (5-5-5);Keith Peterson;Punches to Head From Half Guard;Middleweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;1;0;49 of 94;37 of 79;52;46;97 of 159;38 of 83;1 of 1;0 of 8;100;0;0;0;0;0;2:26;0:44;27 of 70;14 of 55;14 of 14;8 of 9;8 of 10;15 of 15;23 of 55;35 of 76;6 of 8;2 of 2;20 of 31;0 of 1;55;37;28;21;16;40;46;94;12;5;40;0
Niko Price;Phil Rowe;December 03, 2022;The Hybrid;The Fresh Prince;L;W;KO/TKO;3;3:26;3 Rnd (5-5-5);Marc Goddard;Punches to Head At Distance;Welterweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;110 of 247;63 of 139;44;45;150 of 293;64 of 140;0 of 2;1 of 2;0;50;0;2;0;0;1:29;1:29;66 of 197;49 of 123;16 of 22;7 of 8;28 of 28;7 of 8;88 of 218;57 of 129;14 of 21;6 of 7;8 of 8;0 of 3;60;77;14;11;25;11;80;90;12;9;7;0
Angela Hill;Emily Ducote;December 03, 2022;Overkill;Gordinha;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Andrew Glenn;Derek Cleary 27 - 30. Dave Tirelli 27 - 30. Daniel Torres 27 - 30.;Women's Strawweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;182 of 345;71 of 173;52;41;190 of 353;76 of 178;0 of 0;0 of 2;---;0;0;0;0;0;0:00;0:00;95 of 240;49 of 147;73 of 88;18 of 22;14 of 17;4 of 4;130 of 292;62 of 161;52 of 53;9 of 12;0 of 0;0 of 0;52;69;40;25;7;5;71;87;28;12;0;0
Clay Guida;Scott Holtzman;December 03, 2022;The Carpenter;Hot Sauce;W;L;Decision - Split;3;5:00;3 Rnd (5-5-5);Larry Folsom;Eric Colon 28 - 29. Michael Tate 28 - 29. Dave Tirelli 29 - 28.;Lightweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;66 of 183;65 of 166;36;39;95 of 215;77 of 178;4 of 15;0 of 0;26;---;0;0;0;0;5:35;0:18;30 of 134;55 of 146;23 of 36;5 of 13;13 of 13;5 of 7;58 of 173;60 of 160;5 of 7;5 of 6;3 of 3;0 of 0;45;84;34;7;19;7;87;92;7;7;4;0
Michael Johnson;Marc Diakiese;December 03, 2022;The Menace;Bonecrusher;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;Chris Lee 28 - 29. Sal D'amato 28 - 29. Troy Wincapaw 27 - 30.;Lightweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;83 of 181;55 of 127;45;43;83 of 181;55 of 127;0 of 3;0 of 6;0;0;0;0;0;0;0:30;0:00;37 of 116;21 of 80;37 of 55;24 of 31;9 of 10;10 of 16;79 of 171;52 of 124;3 of 7;3 of 3;1 of 3;0 of 0;44;38;44;43;10;18;95;94;3;5;1;0
Darren Elkins;Jonathan Pearce;December 03, 2022;The Damage;JSP;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;Eric Colon 27 - 30. Daniel Torres 27 - 30. Derek Cleary 26 - 30.;Featherweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;57 of 193;110 of 222;29;49;67 of 203;154 of 276;2 of 5;2 of 7;40;28;0;0;0;1;0:48;3:33;47 of 176;80 of 188;9 of 15;18 of 22;1 of 2;12 of 12;49 of 177;66 of 159;8 of 16;14 of 20;0 of 0;30 of 43;82;72;15;16;1;10;85;60;14;12;0;27
Natan Levy;Genaro Valdez;December 03, 2022;Lethal;Rayadito;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Andrew Glenn;Eric Colon 28 - 29. Troy Wincapaw 28 - 29. Chris Lee 27 - 30.;Lightweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;0;67 of 135;49 of 158;49;31;69 of 137;62 of 173;6 of 10;0 of 0;60;---;0;0;0;0;4:40;0:01;22 of 79;26 of 121;25 of 34;10 of 22;20 of 22;13 of 15;66 of 134;41 of 148;1 of 1;5 of 7;0 of 0;3 of 3;32;53;37;20;29;26;98;83;1;10;0;6
Marcelo Rojo;Francis Marshall;December 03, 2022;Pitbull;Fire;L;W;KO/TKO;2;1:14;3 Rnd (5-5-5);Larry Folsom;Punch to Head At Distance;Featherweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;0;1;31 of 47;23 of 81;65;28;48 of 65;29 of 89;0 of 0;1 of 3;---;33;0;0;0;0;0:00;2:47;20 of 35;20 of 78;4 of 5;2 of 2;7 of 7;1 of 1;24 of 39;15 of 72;2 of 2;2 of 2;5 of 6;6 of 7;64;86;12;8;22;4;77;65;6;8;16;26
Yazmin Jauregui;Istela Nunes;December 03, 2022;;;W;L;KO/TKO;2;4:06;3 Rnd (5-5-5);Keith Peterson;Punches to Head From Guard;Women's Strawweight Bout;-;UFC Fight Night: Thompson vs. Holland;Orlando, Florida, USA;2;1;67 of 154;36 of 60;43;60;103 of 200;39 of 63;0 of 3;0 of 0;0;---;0;0;0;0;2:50;0:15;54 of 135;20 of 41;6 of 11;12 of 14;7 of 8;4 of 5;38 of 109;28 of 50;7 of 12;8 of 8;22 of 33;0 of 2;80;55;8;33;10;11;56;77;10;22;32;0
Kennedy Nzechukwu;Ion Cutelaba;November 19, 2022;African Savage;The Hulk;W;L;KO/TKO;2;1:02;3 Rnd (5-5-5);Keith Peterson;Knee to Head At Distance;Light Heavyweight Bout;perf;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;1;0;24 of 42;9 of 26;57;34;24 of 42;30 of 57;0 of 1;2 of 8;0;25;0;0;0;0;1:14;3:32;22 of 40;7 of 23;2 of 2;0 of 1;0 of 0;2 of 2;15 of 32;8 of 24;0 of 0;0 of 1;9 of 10;1 of 1;91;77;8;0;0;22;62;88;0;0;37;11
Chase Sherman;Waldo Cortes-Acosta;November 19, 2022;The Vanilla Gorilla;Salsa Boy;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jacob Montalvo;Anthony Maness 27 - 30. Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29.;Heavyweight Bout;-;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;0;0;66 of 177;147 of 278;37;52;73 of 187;149 of 282;1 of 2;0 of 0;50;---;0;0;0;0;1:34;0:13;25 of 130;124 of 247;16 of 19;17 of 25;25 of 28;6 of 6;66 of 174;142 of 271;0 of 3;5 of 7;0 of 0;0 of 0;37;84;24;11;37;4;100;96;0;3;0;0
Andre Fialho;Muslim Salikhov;November 19, 2022;;King of Kung Fu;L;W;KO/TKO;3;1:03;3 Rnd (5-5-5);Chris Tognoni;Kick to Head At Distance Wheel Kick;Welterweight Bout;perf;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;0;0;17 of 66;56 of 95;25;58;29 of 80;77 of 123;0 of 0;1 of 3;---;33;0;0;0;0;0:20;3:07;10 of 55;38 of 70;4 of 6;14 of 21;3 of 5;4 of 4;14 of 60;35 of 60;3 of 6;3 of 8;0 of 0;18 of 27;58;67;23;25;17;7;82;62;17;5;0;32
Jack Della Maddalena;Danny Roberts;November 19, 2022;;Hot Chocolate;W;L;KO/TKO;1;3:24;3 Rnd (5-5-5);Mark Smith;Punches to Head At Distance;Welterweight Bout;perf;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;2;0;33 of 60;5 of 33;55;15;41 of 68;5 of 33;0 of 0;0 of 1;---;0;0;0;0;0;0:34;0:15;23 of 41;2 of 29;9 of 16;1 of 2;1 of 3;2 of 2;27 of 50;4 of 32;2 of 2;1 of 1;4 of 8;0 of 0;69;40;27;20;3;40;81;80;6;20;12;0
Charles Johnson;Zhalgas Zhumagulov;November 19, 2022;InnerG;;W;L;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;Derek Cleary 28 - 29. Doug Crosby 29 - 28. Sal D'amato 28 - 29.;Flyweight Bout;-;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;0;0;115 of 209;119 of 234;55;50;141 of 237;141 of 258;0 of 2;1 of 4;0;25;0;0;0;0;0:57;1:03;64 of 142;36 of 119;41 of 54;34 of 62;10 of 13;49 of 53;101 of 191;112 of 225;14 of 18;6 of 8;0 of 0;1 of 1;55;30;35;28;8;41;87;94;12;5;0;0
Jennifer Maia;Maryna Moroz;November 19, 2022;;Iron Lady;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jacob Montalvo;Sal D'amato 27 - 30. Derek Cleary 28 - 29. Junichiro Kamijo 28 - 29.;Women's Flyweight Bout;-;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;0;0;109 of 253;80 of 272;43;29;117 of 261;84 of 276;0 of 0;0 of 0;---;---;0;0;0;0;1:44;0:00;84 of 224;55 of 237;14 of 18;14 of 23;11 of 11;11 of 12;101 of 242;78 of 269;8 of 11;2 of 3;0 of 0;0 of 0;77;68;12;17;10;13;92;97;7;2;0;0
Vince Morales;Miles Johns;November 19, 2022;Vandetta;Chapo;L;W;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;Doug Crosby 27 - 30. Mike Bell 28 - 29. Adalaide Byrd 28 - 29.;Bantamweight Bout;-;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;0;0;39 of 131;38 of 103;29;36;47 of 139;45 of 110;0 of 0;1 of 12;---;8;0;0;0;0;0:05;2:08;28 of 112;28 of 92;9 of 15;4 of 5;2 of 4;6 of 6;36 of 127;38 of 102;3 of 4;0 of 1;0 of 0;0 of 0;71;73;23;10;5;15;92;100;7;0;0;0
Ricky Turcios;Kevin Natividad;November 19, 2022;;Quicksand;W;L;Decision - Split;3;5:00;3 Rnd (5-5-5);Mark Smith;Derek Cleary 28 - 29. Anthony Maness 29 - 28. Sal D'amato 28 - 29.;Bantamweight Bout;-;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;0;1;68 of 115;41 of 81;59;50;170 of 224;61 of 109;2 of 5;7 of 13;40;53;1;0;3;0;6:17;5:00;65 of 112;33 of 70;1 of 1;5 of 7;2 of 2;3 of 4;28 of 63;23 of 55;5 of 11;5 of 9;35 of 41;13 of 17;95;80;1;12;2;7;41;56;7;12;51;31
Vanessa Demopoulos;Maria Oliveira;November 19, 2022;Lil Monster;Spider-Girl;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;Mike Bell 28 - 29. Adalaide Byrd 28 - 29. Sal D'amato 28 - 29.;Women's Strawweight Bout;-;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;1;0;55 of 80;83 of 154;68;53;121 of 154;95 of 166;2 of 4;0 of 0;50;---;0;0;0;0;7:59;0:01;44 of 68;55 of 124;5 of 5;20 of 21;6 of 7;8 of 9;18 of 39;80 of 151;3 of 3;3 of 3;34 of 38;0 of 0;80;66;9;24;10;9;32;96;5;3;61;0
Brady Hiestand;Fernie Garcia;November 19, 2022;Bam Bam;;W;L;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jacob Montalvo;Derek Cleary 28 - 29. Junichiro Kamijo 28 - 29. Anthony Maness 28 - 29.;Bantamweight Bout;-;UFC Fight Night: Nzechukwu vs. Cutelaba;Las Vegas, Nevada, USA;0;0;19 of 34;21 of 44;55;47;56 of 82;86 of 125;3 of 8;1 of 2;37;50;1;1;0;1;9:14;1:22;10 of 23;13 of 36;4 of 5;1 of 1;5 of 6;7 of 7;16 of 31;20 of 43;2 of 2;0 of 0;1 of 1;1 of 1;52;61;21;4;26;33;84;95;10;0;5;4
