red_fighter_name;blue_fighter_name;event_date;red_fighter_result;blue_fighter_result;method;bout_type;bonus;red_fighter_total_pts;blue_fighter_total_pts
FERNANDO PADILLA;KYLE NELSON;16/09/2023;L;W;Decision - Unanimous;Featherweight Bout;-;28 28 27;29 29 30
LOOPY GODINEZ;ELISE REED;16/09/2023;W;L;Submission;Women's Strawweight Bout;perf;10 10 10;8 9 8
ROMAN KOPYLOV;JOSH FREMD;16/09/2023;W;L;KO/TKO;Middleweight Bout;perf;10 10 10;9 9 9
TRACY CORTEZ;JASMINE JASUDAVICIUS;16/09/2023;W;L;Decision - Unanimous;Women's Flyweight Bout;-;30 30 29;27 27 28
ALEX REYES;CHARLIE CAMPBELL;16/09/2023;L;W;KO/TKO;Lightweight Bout;perf;- - -;- - -
JOSEFINE KNUTSSON;MARNIC MANN;16/09/2023;W;L;Decision - Unanimous;Women's Strawweight Bout;-;30 30 30;24 25 27
ISRAEL ADESANYA;SEAN STRICKLAND;10/09/2023;L;W;Decision - Unanimous;UFC Middleweight Title Bout;belt;46 46 46;49 49 49
TAI TUIVASA;ALEXANDER VOLKOV;10/09/2023;L;W;Submission;Heavyweight Bout;-;9 9 9;10 10 10
MANEL KAPE;FELIPE DOS SANTOS;10/09/2023;W;L;Decision - Unanimous;Flyweight Bout;fight;30 29 29;27 28 28
JUSTIN TAFA;AUSTEN LANE;10/09/2023;W;L;KO/TKO;Heavyweight Bout;perf;- - -;- - -
TYSON PEDRO;ANTON TURKALJ;10/09/2023;W;L;KO/TKO;Light Heavyweight Bout;-;- - -;- - -
CARLOS ULBERG;DA WOON JUNG;10/09/2023;W;L;Submission;Light Heavyweight Bout;-;20 20 20;18 18 18
JACK JENKINS;CHEPE MARISCAL;10/09/2023;L;W;KO/TKO;Featherweight Bout;-;10 10 10;9 9 9
JAMIE MULLARKEY;JOHN MAKDESSI;10/09/2023;W;L;Decision - Unanimous;Lightweight Bout;-;29 29 29;28 28 28
NASRAT HAQPARAST;LANDON QUINONES;10/09/2023;W;L;Decision - Unanimous;Lightweight Bout;-;30 30 30;27 27 27
BLOOD DIAMOND;CHARLES RADTKE;10/09/2023;L;W;Decision - Unanimous;Welterweight Bout;-;27 27 27;29 29 29
SHANE YOUNG;GABRIEL MIRANDA;10/09/2023;L;W;Submission;Featherweight Bout;-;- - -;- - -
KEVIN JOUSSET;KIEFER CROSBIE;10/09/2023;W;L;Submission;Welterweight Bout;-;- - -;- - -
CIRYL GANE;SERGHEI SPIVAC;02/09/2023;W;L;KO/TKO;Heavyweight Bout;perf;10 10 10;9 9 9
MANON FIOROT;ROSE NAMAJUNAS;02/09/2023;W;L;Decision - Unanimous;Women's Flyweight Bout;-;29 29 30;28 28 27
BENOIT SAINT DENIS;THIAGO MOISES;02/09/2023;W;L;KO/TKO;Lightweight Bout;fight;10 10 10;9 9 9
VOLKAN OEZDEMIR;BOGDAN GUSKOV;02/09/2023;W;L;Submission;Light Heavyweight Bout;-;- - -;- - -
WILLIAM GOMIS;YANIS GHEMMOURI;02/09/2023;W;L;KO/TKO;Featherweight Bout;-;20 20 20;18 18 18
MORGAN CHARRIERE;MANOLO ZECCHINI;02/09/2023;W;L;KO/TKO;Featherweight Bout;perf;- - -;- - -
TAYLOR LAPILUS;CAOLAN LOUGHRAN;02/09/2023;W;L;Decision - Unanimous;Bantamweight Bout;-;29 29 29;28 28 28
ANGE LOOSA;RHYS MCKEE;02/09/2023;W;L;Decision - Unanimous;Welterweight Bout;-;30 29 29;27 28 28
NORA CORNOLLE;JOSELYNE EDWARDS;02/09/2023;W;L;Decision - Unanimous;Women's Bantamweight Bout;-;30 30 29;27 27 28
FARID BASHARAT;KLEYDSON RODRIGUES;02/09/2023;W;L;Submission;Bantamweight Bout;-;- - -;- - -
ZARAH FAIRN;JACQUELINE CAVALCANTI;02/09/2023;L;W;Decision - Unanimous;Catch Weight Bout;-;27 27 27;30 30 30
MAX HOLLOWAY;CHAN SUNG JUNG;26/08/2023;W;L;KO/TKO;Featherweight Bout;fight;19 20 20;19 17 18
ANTHONY SMITH;RYAN SPANN;26/08/2023;W;L;Decision - Split;Light Heavyweight Bout;-;29 29 28;28 28 29
GIGA CHIKADZE;ALEX CACERES;26/08/2023;W;L;Decision - Unanimous;Featherweight Bout;-;30 30 30;27 27 27
RINYA NAKAMURA;FERNIE GARCIA;26/08/2023;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 30;26 27 27
ERIN BLANCHFIELD;TAILA SANTOS;26/08/2023;W;L;Decision - Unanimous;Women's Flyweight Bout;-;29 29 29;28 28 28
JUNIOR TAFA;PARKER PORTER;26/08/2023;W;L;KO/TKO;Heavyweight Bout;perf;- - -;- - -
WALDO CORTES-ACOSTA;LUKASZ BRZESKI;26/08/2023;W;L;KO/TKO;Heavyweight Bout;-;- - -;- - -
TOSHIOMI KAZAMA;GARRETT ARMFIELD;26/08/2023;L;W;KO/TKO;Bantamweight Bout;-;- - -;- - -
CHIDI NJOKUANI;MICHAL OLEKSIEJCZUK;26/08/2023;L;W;KO/TKO;Middleweight Bout;perf;- - -;- - -
SONG KENAN;ROLANDO BEDOYA;26/08/2023;W;L;Decision - Unanimous;Welterweight Bout;-;29 29 29;28 28 28
BILLY RAY GOFF;YUSAKU KINOSHITA;26/08/2023;W;L;KO/TKO;Welterweight Bout;-;- - -;- - -
LIANG NA;JJ ALDRICH;26/08/2023;L;W;KO/TKO;Women's Flyweight Bout;-;10 10 9;9 9 10
SEUNGWOO CHOI;JARNO ERRENS;26/08/2023;W;L;Decision - Unanimous;Featherweight Bout;-;30 29 29;27 28 28
ALJAMAIN STERLING;SEAN O'MALLEY;19/08/2023;L;W;KO/TKO;UFC Bantamweight Title Bout;belt;10 10 10;9 9 9
ZHANG WEILI;AMANDA LEMOS;19/08/2023;W;L;Decision - Unanimous;UFC Women's Strawweight Title Bout;belt;50 49 50;43 45 44
NEIL MAGNY;IAN MACHADO GARRY;19/08/2023;L;W;Decision - Unanimous;Welterweight Bout;-;26 26 24;30 30 30
DA'MON BLACKSHEAR;MARIO BAUTISTA;19/08/2023;L;W;Decision - Unanimous;Bantamweight Bout;-;28 28 27;29 29 30
MARLON VERA;PEDRO MUNHOZ;19/08/2023;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 29;27 27 28
CHRIS WEIDMAN;BRAD TAVARES;19/08/2023;L;W;Decision - Unanimous;Middleweight Bout;-;27 27 27;30 30 30
GREGORY RODRIGUES;DENIS TIULIULIN;19/08/2023;W;L;KO/TKO;Middleweight Bout;-;- - -;- - -
KURT HOLOBAUGH;AUSTIN HUBBARD;19/08/2023;W;L;Submission;Lightweight Bout;-;9 9 9;10 10 10
BRAD KATONA;CODY GIBSON;19/08/2023;W;L;Decision - Unanimous;Bantamweight Bout;fight;29 30 29;28 27 28
ANDRE PETROSKI;GERALD MEERSCHAERT;19/08/2023;W;L;Decision - Split;Middleweight Bout;-;28 29 29;29 28 28
ANDREA LEE;NATALIA SILVA;19/08/2023;L;W;Decision - Unanimous;Women's Flyweight Bout;-;27 27 27;30 30 30
KARINE SILVA;MARYNA MOROZ;19/08/2023;W;L;Submission;Women's Flyweight Bout;-;- - -; - - -
VICENTE LUQUE;RAFAEL DOS ANJOS;12/08/2023;W;L;Decision - Unanimous;Welterweight Bout;-;48 48 49;47 47 46
CUB SWANSON;HAKEEM DAWODU;12/08/2023;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
KHALIL ROUNTREE JR.;CHRIS DAUKAUS;12/08/2023;W;L;KO/TKO;Light Heavyweight Bout;perf;- - -;- - -
POLYANA VIANA;IASMIN LUCINDO;12/08/2023;L;W;Submission;Women's Strawweight Bout;perf;10 9 9;9 10 10
AJ DOBSON;TAFON NCHUKWI;12/08/2023;W;L;Decision - Unanimous;Middleweight Bout;-;29 29 29;28 28 28
JOSH FREMD;JAMIE PICKETT;12/08/2023;W;L;Decision - Unanimous;Middleweight Bout;-;30 30 30;27 27 27
JP BUYS;MARCUS MCGHEE;12/08/2023;L;W;KO/TKO;Bantamweight Bout;perf;- - -;- - -
TERRANCE MCKINNEY;MIKE BREEDEN;12/08/2023;W;L;KO/TKO;Lightweight Bout;-;- - -;- - -
FRANCIS MARSHALL;ISAAC DULGARIAN;12/08/2023;L;W;KO/TKO;Featherweight Bout;-;- - -;- - -
JOSH PARISIAN;MARTIN BUDAY;12/08/2023;L;W;Submission;Heavyweight Bout;-;- - -;- - -
JAQUELINE AMORIM;MONTSERRAT CONEJO RUIZ;12/08/2023;W;L;KO/TKO;Women's Strawweight Bout;-;20 20 20;16 16 18
DA'MON BLACKSHEAR;JOSE JOHNSON;12/08/2023;W;L;Submission;Bantamweight Bout;perf;- - -;- - -
JULIANA MILLER;LUANA SANTOS;12/08/2023;L;W;KO/TKO;Women's Flyweight Bout;-;- - -;- - -
CORY SANDHAGEN;ROB FONT;05/08/2023;W;L;Decision - Unanimous;Catch Weight Bout;-;50 50 50;45 45 45
JESSICA ANDRADE;TATIANA SUAREZ;05/08/2023;L;W;Submission;Women's Strawweight Bout;perf;9 9 9;10 10 10
DUSTIN JACOBY;KENNEDY NZECHUKWU;05/08/2023;W;L;KO/TKO;Light Heavyweight Bout;perf;- - -;- - -
DIEGO LOPES;GAVIN TUCKER;05/08/2023;W;L;Submission;Featherweight Bout;perf;- - -;- - -
TANNER BOSER;ALEKSA CAMUR;05/08/2023;W;L;Decision - Unanimous;Light Heavyweight Bout;-;30 30 30;27 27 27
IGNACIO BAHAMONDES;LUDOVIT KLEIN;05/08/2023;L;W;Decision - Unanimous;Lightweight Bout;-;28 28 27;29 29 30
KYLER PHILLIPS;RAONI BARCELOS;05/08/2023;W;L;Decision - Unanimous;Bantamweight Bout;-;29 29 30;28 28 27
JEREMIAH WELLS;CARLSTON HARRIS;05/08/2023;L;W;Submission;Welterweight Bout;perf;20 20 20;18 18 17
BILLY QUARANTILLO;DAMON JACKSON;05/08/2023;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
CODY DURDEN;JAKE HADLEY;05/08/2023;W;L;Decision - Unanimous;Flyweight Bout;-;30 30 30;27 27 27
SEAN WOODSON;DENNIS BUZUKJA;05/08/2023;W;L;Decision - Unanimous;Featherweight Bout;-;30 30 30;27 27 27
ODE OSBOURNE;ASU ALMABAYEV;05/08/2023;L;W;Submission;Flyweight Bout;perf;9 9 9;10 10 10
DUSTIN POIRIER;JUSTIN GAETHJE;29/07/2023;L;W;KO/TKO;Lightweight Bout;perf;10 10 9;9 9 10
JAN BLACHOWICZ;ALEX PEREIRA;29/07/2023;L;W;Decision - Split;Light Heavyweight Bout;-;28 28 29;29 29 28
DERRICK LEWIS;MARCOS ROGERIO DE LIMA;29/07/2023;W;L;KO/TKO;Heavyweight Bout;perf;- - -;- - -
TONY FERGUSON;KING GREEN;29/07/2023;L;W;Submission;Lightweight Bout;perf;17 18 19;20 20 19
MICHAEL CHIESA;KEVIN HOLLAND;29/07/2023;L;W;Submission;Welterweight Bout;perf;- - -;- - -
GABRIEL BONFIM;TREVIN GILES;29/07/2023;W;L;Submission;Welterweight Bout;-;- - -;- - -
CJ VERGARA;VINICIUS SALVADOR;29/07/2023;W;L;Decision - Unanimous;Flyweight Bout;-;29 29 29;28 28 28
ROMAN KOPYLOV;CLAUDIO RIBEIRO;29/07/2023;W;L;KO/TKO;Middleweight Bout;-;9 10 9;10 9 10
JAKE MATTHEWS;DARRIUS FLOWERS;29/07/2023;W;L;Submission;Welterweight Bout;-;10 10 10;9 9 9
MATTHEW SEMELSBERGER;UROS MEDIC;29/07/2023;L;W;KO/TKO;Welterweight Bout;-;19 19 19;19 19 19
MIRANDA MAVERICK;PRISCILA CACHOEIRA;29/07/2023;W;L;Submission;Women's Flyweight Bout;-;20 20 20;18 18 18
TOM ASPINALL;MARCIN TYBURA;22/07/2023;W;L;KO/TKO;Heavyweight Bout;perf;- - -;- - -
MOLLY MCCANN;JULIJA STOLIARENKO;22/07/2023;L;W;Submission;Women's Flyweight Bout;-;- - -;- - -
NATHANIEL WOOD;ANDRE FILI;22/07/2023;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
PAUL CRAIG;ANDRE MUNIZ;22/07/2023;W;L;KO/TKO;Middleweight Bout;perf;9 9 9;10 10 10
JAI HERBERT;FARES ZIAM;22/07/2023;L;W;Decision - Unanimous;Lightweight Bout;-;28 27 28;29 30 29
LERONE MURPHY;JOSH CULIBAO;22/07/2023;W;L;Decision - Unanimous;Featherweight Bout;-;30 30 30;26 27 26
DAVEY GRANT;DANIEL MARCOS;22/07/2023;L;W;Decision - Split;Bantamweight Bout;-;29 28 28;28 29 29
DANNY ROBERTS;JONNY PARSONS;22/07/2023;L;W;KO/TKO;Welterweight Bout;fight;10 9 10;9 10 9
MARC DIAKIESE;JOEL ALVAREZ;22/07/2023;L;W;Submission;Lightweight Bout;-;9 9 10;10 10 9
MICK PARKIN;JAMAL POGUES;22/07/2023;W;L;Decision - Unanimous;Heavyweight Bout;-;30 30 30;27 27 27
MAKHMUD MURADOV;BRYAN BARBERENA;22/07/2023;W;L;Decision - Unanimous;Middleweight Bout;-;30 30 30;27 27 27
KETLEN VIEIRA;PANNIE KIANZAD;22/07/2023;W;L;Decision - Unanimous;Women's Bantamweight Bout;-;29 29 29;28 28 28
CHRIS DUNCAN;YANAL ASHMOUZ;22/07/2023;W;L;Decision - Unanimous;Lightweight Bout;-;29 30 30;28 27 27
SHAUNA BANNON;BRUNA BRASIL;22/07/2023;L;W;Decision - Unanimous;Women's Strawweight Bout;-;28 27 28;29 30 29
JAFEL FILHO;DANIEL BAREZ;22/07/2023;W;L;Submission;Flyweight Bout;-;- - -;- - -
JACK DELLA MADDALENA;BASSIL HAFEZ;15/07/2023;W;L;Decision - Split;Welterweight Bout;fight;28 29 29;29 28 28
OTTMAN AZAITAR;FRANCISCO PRADO;15/07/2023;L;W;KO/TKO;Lightweight Bout;perf;- - -;- - -
ALBERT DURAEV;JUNYONG PARK;15/07/2023;L;W;Submission;Middleweight Bout;-;9 10 6;10 9 10
NORMA DUMONT;CHELSEA CHANDLER;15/07/2023;W;L;Decision - Unanimous;Women's Featherweight Bout;-;30 30 30;27 27 27
NAZIM SADYKHOV;TERRANCE MCKINNEY;15/07/2023;W;L;Submission;Lightweight Bout;-;9 9 9;10 10 10
TUCKER LUTZ;MELSIK BAGHDASARYAN;15/07/2023;L;W;Decision - Unanimous;Featherweight Bout;-;28 28 28;29 29 29
VIKTORIIA DUDAKOVA;ISTELA NUNES;15/07/2023;W;L;KO/TKO;Women's Strawweight Bout;-;- -;- -
AUSTIN LINGO;MELQUIZAEL COSTA;15/07/2023;L;W;Decision - Unanimous;Featherweight Bout;-;26 27 27;30 30 30
EVAN ELDER;GENARO VALDEZ;15/07/2023;W;L;Decision - Unanimous;Lightweight Bout;-;30 29 29;26 28 28
TYSON NAM;AZAT MAKSUM;15/07/2023;L;W;Decision - Split;Flyweight Bout;-;28 28 29;29 29 28
ALEXANDER MUNOZ;CARL DEATON;15/07/2023;W;L;Decision - Unanimous;Lightweight Bout;-;30 30 29;26 27 28
ASHLEE EVANS-SMITH;AILIN PEREZ;15/07/2023;L;W;Decision - Unanimous;Women's Bantamweight Bout;-;25 25 26;30 30 30
ALEXANDER VOLKANOVSKI;YAIR RODRIGUEZ;08/07/2023;W;L;KO/TKO;UFC Featherweight Title Bout;belt;20 20 20;18 18 18
BRANDON MORENO;ALEXANDRE PANTOJA;08/07/2023;L;W;Decision - Split;UFC Flyweight Title Bout;belt;49 47 47;46 48 48
ROBERT WHITTAKER;DRICUS DU PLESSIS;08/07/2023;L;W;KO/TKO;Middleweight Bout;perf;9 9 9;10 10 10
JALIN TURNER;DAN HOOKER;08/07/2023;L;W;Decision - Split;Lightweight Bout;-;29 28 28;28 29 29
BO NICKAL;VAL WOODBURN;08/07/2023;W;L;KO/TKO;Middleweight Bout;-;- - -;- - -
ROBBIE LAWLER;NIKO PRICE;08/07/2023;W;L;KO/TKO;Welterweight Bout;-;- - -;- - -
TATSURO TAIRA;EDGAR CHAIREZ;08/07/2023;W;L;Decision - Unanimous;Catch Weight Bout;-;29 29 29;27 27 27
YAZMIN JAUREGUI;DENISE GOMES;08/07/2023;L;W;KO/TKO;Women's Strawweight Bout;perf;- - -;- - -
JIMMY CRUTE;ALONZO MENIFIELD;08/07/2023;L;W;Submission;Light Heavyweight Bout;-;9 9 9;10 10 10
VITOR PETRINO;MARCIN PRACHNIO;08/07/2023;W;L;Submission;Light Heavyweight Bout;-;20 20 20;18 18 18
CAMERON SAAIMAN;TERRENCE MITCHELL;08/07/2023;W;L;KO/TKO;Bantamweight Bout;-;- - -;- - -
SHANNON ROSS;JESUS AGUILAR;08/07/2023;L;W;KO/TKO;Flyweight Bout;-;- - -;- - -
KAMUELA KIRK;ESTEBAN RIBOVICS;08/07/2023;L;W;Decision - Unanimous;Lightweight Bout;-;28 28 28;29 29 29
SEAN STRICKLAND;ABUS MAGOMEDOV;01/07/2023;W;L;KO/TKO;Middleweight Bout;perf;9 9 9;10 10 10
DAMIR ISMAGULOV;GRANT DAWSON;01/07/2023;L;W;Decision - Unanimous;Lightweight Bout;-;26 27 27;30 30 30
MAX GRIFFIN;MICHAEL MORALES;01/07/2023;L;W;Decision - Unanimous;Welterweight Bout;-;28 28 28;29 29 29
ARIANE DA SILVA;MELISSA GATTO;01/07/2023;W;L;Decision - Split;Women's Flyweight Bout;-;28 30 29;29 27 28
ISMAEL BONFIM;BENOIT SAINT DENIS;01/07/2023;L;W;Submission;Lightweight Bout;-;- - -;- - -
BRUNNO FERREIRA;NURSULTON RUZIBOEV;01/07/2023;L;W;KO/TKO;Middleweight Bout;perf;- - -;- - -
KEVIN LEE;RINAT FAKHRETDINOV;01/07/2023;L;W;Submission;Welterweight Bout;-;- - -;- - -
JOANDERSON BRITO;WESTIN WILSON;01/07/2023;W;L;KO/TKO;Featherweight Bout;-;- - -;- - -
YANA SANTOS;KAROL ROSA;01/07/2023;L;W;Decision - Split;Women's Featherweight Bout;-;29 28 28;28 29 29
GURAM KUTATELADZE;ELVES BRENER;01/07/2023;L;W;KO/TKO;Lightweight Bout;fight;20 20 20;18 18 18
IVANA PETROVIC;LUANA CAROLINA;01/07/2023;L;W;Decision - Unanimous;Women's Flyweight Bout;-;28 28 28;29 29 29
ALEXANDR ROMANOV;BLAGOY IVANOV;01/07/2023;W;L;Decision - Unanimous;Heavyweight Bout;-;30 30 30;27 27 27
JOSH EMMETT;ILIA TOPURIA;24/06/2023;L;W;Decision - Unanimous;Featherweight Bout;fight;44 42 45;50 50 49
AMANDA RIBAS;MAYCEE BARBER;24/06/2023;L;W;KO/TKO;Women's Flyweight Bout;perf;9 9 9;10 10 10
DAVID ONAMA;GABRIEL SANTOS;24/06/2023;W;L;KO/TKO;Featherweight Bout;perf;9 9 9;10 10 10
BRENDAN ALLEN;BRUNO SILVA;24/06/2023;W;L;Submission;Middleweight Bout;-;- - -;- - -
NEIL MAGNY;PHIL ROWE;24/06/2023;W;L;Decision - Split;Welterweight Bout;-;28 29 29;29 28 28
RANDY BROWN;WELLINGTON TURMAN;24/06/2023;W;L;Decision - Unanimous;Welterweight Bout;-;29 29 29;28 28 28
MATEUSZ REBECKI;LOIK RADZHABOV;24/06/2023;W;L;KO/TKO;Lightweight Bout;-;10 10 10;9 9 9
TABATHA RICCI;GILLIAN ROBERTSON;24/06/2023;W;L;Decision - Unanimous;Women's Strawweight Bout;-;29 30 29;28 27 28
ZHALGAS ZHUMAGULOV;JOSHUA VAN;24/06/2023;L;W;Decision - Split;Flyweight Bout;-;28 28 29;29 29 28
TREVOR PEEK;CHEPE MARISCAL;24/06/2023;L;W;Decision - Unanimous;Lightweight Bout;-;27 27 27;30 30 30
JAMALL EMMERS;JACK JENKINS;24/06/2023;L;W;Decision - Split;Featherweight Bout;-;28 30 28;29 27 29
CODY BRUNDAGE;SEDRIQUES DUMAS;24/06/2023;L;W;Decision - Unanimous;Middleweight Bout;-;27 28 27;30 29 30
MARVIN VETTORI;JARED CANNONIER;17/06/2023;L;W;Decision - Unanimous;Middleweight Bout;fight;45 45 46;49 49 48
ARMAN TSARUKYAN;JOAQUIM SILVA;17/06/2023;W;L;KO/TKO;Lightweight Bout;-;19 19 19;19 19 19
ARMEN PETROSYAN;CHRISTIAN LEROY DUNCAN;17/06/2023;W;L;Decision - Unanimous;Middleweight Bout;-;29 29 30;28 28 27
PAT SABATINI;LUCAS ALMEIDA;17/06/2023;W;L;Submission;Featherweight Bout;-;10 10 10;8 8 8
MANUEL TORRES;NIKOLAS MOTTA;17/06/2023;W;L;KO/TKO;Lightweight Bout;perf;- - -;- - -
NICOLAS DALBY;MUSLIM SALIKHOV;17/06/2023;W;L;Decision - Unanimous;Welterweight Bout;-;29 30 30;28 27 27
JIMMY FLICK;ALESSANDRO COSTA;17/06/2023;L;W;KO/TKO;Flyweight Bout;perf;9 9 9;10 10 10
KYUNG HO KANG;CRISTIAN QUINONEZ;17/06/2023;W;L;Submission;Bantamweight Bout;-;- - -;- - -
CARLOS HERNANDEZ;DENYS BONDAR;17/06/2023;W;L;Decision - Unanimous;Flyweight Bout;-;30 29 30;27 28 27
TEREZA BLEDA;GABRIELLA FERNANDES;17/06/2023;W;L;Decision - Unanimous;Women's Flyweight Bout;-;30 30 30;27 27 27
ZAC PAUGA;MODESTAS BUKAUSKAS;17/06/2023;L;W;Decision - Unanimous;Light Heavyweight Bout;-;28 28 27;29 29 30
AMANDA NUNES;IRENE ALDANA;10/06/2023;W;L;Decision - Unanimous;UFC Women's Bantamweight Title Bout;belt;50 50 50;44 44 43
CHARLES OLIVEIRA;BENEIL DARIUSH;10/06/2023;W;L;KO/TKO;Lightweight Bout;perf;- - -;- - -
MIKE MALOTT;ADAM FUGITT;10/06/2023;W;L;Submission;Welterweight Bout;perf;10 10 10;9 9 9
DAN IGE;NATE LANDWEHR;10/06/2023;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 30;28 28 27
MARC-ANDRE BARRIAULT;ERYK ANDERS;10/06/2023;W;L;Decision - Unanimous;Middleweight Bout;fight;30 30 30;27 27 27
MIRANDA MAVERICK;JASMINE JASUDAVICIUS;10/06/2023;L;W;Decision - Unanimous;Women's Flyweight Bout;-;28 28 28;29 29 29
AIEMANN ZAHABI;AORIQILENG;10/06/2023;W;L;KO/TKO;Bantamweight Bout;-;- - -;- - -
KYLE NELSON;BLAKE BILDER;10/06/2023;W;L;Decision - Unanimous;Featherweight Bout;-;30 30 29;27 27 28
DAVID DVORAK;STEVE ERCEG;10/06/2023;L;W;Decision - Unanimous;Flyweight Bout;perf;28 27 28;29 30 29
DIANA BELBITA;MARIA OLIVEIRA;10/06/2023;W;L;Decision - Unanimous;Women's Strawweight Bout;-;30 30 29;27 27 28
KAI KARA-FRANCE;AMIR ALBAZI;03/06/2023;L;W;Decision - Split;Flyweight Bout;-;47 47 48;48 48 47
ALEX CACERES;DANIEL PINEDA;03/06/2023;W;L;Decision - Unanimous;Featherweight Bout;fight;29 29 29;28 28 28
JIM MILLER;JESSE BUTLER;03/06/2023;W;L;KO/TKO;Lightweight Bout;perf;- - -;- - -
TIM ELLIOTT;VICTOR ALTAMIRANO;03/06/2023;W;L;Decision - Unanimous;Flyweight Bout;-;30 29 30;27 28 27
KARINE SILVA;KETLEN SOUZA;03/06/2023;W;L;Submission;Women's Flyweight Bout;-;- - -;- - -
ABUBAKAR NURMAGOMEDOV;ELIZEU ZALESKI DOS SANTOS;03/06/2023;L;W;Decision - Split;Welterweight Bout;-;28 28 29;29 29 28
DANIEL SANTOS;JOHNNY MUNOZ;03/06/2023;W;L;Decision - Unanimous;Bantamweight Bout;-;29 29 29;27 27 27
ANDREI ARLOVSKI;DON'TALE MAYES;03/06/2023;L;W;KO/TKO;Heavyweight Bout;-;9 10 9;10 9 10
JOHN CASTANEDA;MUIN GAFUROV;03/06/2023;W;L;Decision - Unanimous;Bantamweight Bout;-;29 29 29;27 27 27
JAMIE MULLARKEY;MUHAMMAD NAIMOV;03/06/2023;L;W;KO/TKO;Lightweight Bout;perf;10 10 10;9 9 9
ELISE REED;JINH YU FREY;03/06/2023;W;L;Decision - Unanimous;Women's Strawweight Bout;-;29 29 29;28 28 28
DA'MON BLACKSHEAR;LUAN LACERDA;03/06/2023;W;L;KO/TKO;Bantamweight Bout;-;10 10 10;9 9 9
PHILIPE LINS;MAXIM GRISHIN;03/06/2023;W;L;Decision - Unanimous;Light Heavyweight Bout;-;29 30 29;28 27 28
MACKENZIE DERN;ANGELA HILL;20/05/2023;W;L;Decision - Unanimous;Women's Strawweight Bout;fight;49 49 49;44 44 43
EDMEN SHAHBAZYAN;ANTHONY HERNANDEZ;20/05/2023;L;W;KO/TKO;Middleweight Bout;-;18 18 18;19 19 19
EMILY DUCOTE;LOOPY GODINEZ;20/05/2023;L;W;Decision - Unanimous;Catch Weight Bout;-;27 28 28;30 29 29
ANDRE FIALHO;JOAQUIN BUCKLEY;20/05/2023;L;W;KO/TKO;Welterweight Bout;-;10 10 9;9 9 10
DIEGO FERREIRA;MICHAEL JOHNSON;20/05/2023;W;L;KO/TKO;Lightweight Bout;perf;9 9 10;10 10 9
MAHESHATE;VIACHESLAV BORSHCHEV;20/05/2023;L;W;KO/TKO;Lightweight Bout;perf;9 9 9;10 10 10
KAROLINA KOWALKIEWICZ;VANESSA DEMOPOULOS;20/05/2023;W;L;Decision - Unanimous;Women's Strawweight Bout;-;30 30 30;27 27 27
ORION COSCE;GILBERT URBINA;20/05/2023;L;W;KO/TKO;Welterweight Bout;-;8 8 9;10 10 10
ILIR LATIFI;RODRIGO NASCIMENTO;20/05/2023;L;W;Decision - Split;Heavyweight Bout;-;28 28 29;29 29 28
CHASE HOOPER;NICK FIORE;20/05/2023;W;L;Decision - Unanimous;Lightweight Bout;-;30 30 30;27 26 27
NATALIA SILVA;VICTORIA LEONARDO;20/05/2023;W;L;KO/TKO;Women's Flyweight Bout;-;- - -;- - -
TAKASHI SATO;THEMBA GORIMBO;20/05/2023;L;W;Decision - Unanimous;Welterweight Bout;-;27 27 27;30 30 30
JAIRZINHO ROZENSTRUIK;JAILTON ALMEIDA;13/05/2023;L;W;Submission;Heavyweight Bout;perf;- - -;- - -
ANTHONY SMITH;JOHNNY WALKER;13/05/2023;L;W;Decision - Unanimous;Light Heavyweight Bout;-;28 27 27;29 30 30
DANIEL RODRIGUEZ;IAN MACHADO GARRY;13/05/2023;L;W;KO/TKO;Welterweight Bout;perf;- - -;- - -
CARLOS ULBERG;IHOR POTIERIA;13/05/2023;W;L;KO/TKO;Light Heavyweight Bout;perf;- - -;- - -
TIM MEANS;ALEX MORONO;13/05/2023;L;W;Submission;Welterweight Bout;-;10 10 10;9 9 9
MATT BROWN;COURT MCGEE;13/05/2023;W;L;KO/TKO;Welterweight Bout;perf;- - -;- - -
KARL WILLIAMS;CHASE SHERMAN;13/05/2023;W;L;Decision - Unanimous;Heavyweight Bout;-;30 30 29;27 27 28
CODY STAMANN;DOUGLAS SILVA DE ANDRADE;13/05/2023;L;W;Decision - Unanimous;Catch Weight Bout;-;28 28 28;29 29 29
JI YEON KIM;MANDY BOHM;13/05/2023;L;W;Decision - Split;Women's Flyweight Bout;-;28 27 27;27 28 28
BRYAN BATTLE;GABE GREEN;13/05/2023;W;L;KO/TKO;Welterweight Bout;-;- - -;- - -
JESSICA-ROSE CLARK;TAINARA LISBOA;13/05/2023;L;W;Submission;Women's Bantamweight Bout;-;18 18 18;20 20 20
ALJAMAIN STERLING;HENRY CEJUDO;06/05/2023;W;L;Decision - Split;UFC Bantamweight Title Bout;belt;47 48 48;48 47 47
