red_fighter_name;blue_fighter_name;event_date;red_fighter_result;blue_fighter_result;method;bout_type;bonus;red_fighter_total_pts;blue_fighter_total_pts
RONGZHU;IGNACIO BAHAMONDES;26/02/2022;L;W;Submission;Lightweight Bout;-;18 18 18;20 20 20
JOSIANE NUNES;RAMONA PASCUAL;26/02/2022;W;L;Decision - Unanimous;Women's Featherweight Bout;-;30 30 30;27 26 27
TERRANCE MCKINNEY;FARES ZIAM;26/02/2022;W;L;Submission;Lightweight Bout;-;- - -;- - -
ALEJANDRO PEREZ;JONATHAN MARTINEZ;26/02/2022;L;W;Decision - Unanimous;Featherweight Bout;-;28 28 27;29 29 30
RAMIZ BRAHIMAJ;MICHEAL GILLMORE;26/02/2022;W;L;Submission;Welterweight Bout;-;- - -;- - -
VICTOR ALTAMIRANO;CARLOS HERNANDEZ;26/02/2022;L;W;Decision - Split;Flyweight Bout;-;28 27 29;29 30 28
JOHNNY WALKER;JAMAHAL HILL;19/02/2022;L;W;KO/TKO;Light Heavyweight Bout;perf;- - -;- - -
KYLE DAUKAUS;JAMIE PICKETT;19/02/2022;W;L;Submission;Catch Weight Bout;perf;- - -;- - -
PARKER PORTER;ALAN BAUDOT;19/02/2022;W;L;Decision - Unanimous;Heavyweight Bout;-;29 29 29;28 28 28
JIM MILLER;NIKOLAS MOTTA;19/02/2022;W;L;KO/TKO;Lightweight Bout;-;10 9 10;9 10 9
JOAQUIN BUCKLEY;ABDUL RAZAK ALHASSAN;19/02/2022;W;L;Decision - Split;Middleweight Bout;-;29 28 29;28 29 28
GABRIEL BENITEZ;DAVID ONAMA;19/02/2022;L;W;KO/TKO;Featherweight Bout;perf;- - -;- - -
JESSICA-ROSE CLARK;STEPHANIE EGGER;19/02/2022;L;W;Submission;Women's Bantamweight Bout;perf;- - -;- - -
CHAS SKELLY;MARK STRIEGL;19/02/2022;W;L;KO/TKO;Featherweight Bout;-;10 9 9;9 10 10
DIANA BELBITA;GLORIA DE PAULA;19/02/2022;L;W;Decision - Unanimous;Women's Strawweight Bout;-;28 28 28;29 29 29
CHAD ANHELIGER;JESSE STRADER;19/02/2022;W;L;KO/TKO;Bantamweight Bout;-;19 18 19;19 20 19
JONATHAN PEARCE;CHRISTIAN RODRIGUEZ;19/02/2022;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 30;28 28 27
MARIO BAUTISTA;JAY PERRIN;19/02/2022;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 30;27 27 26
ISRAEL ADESANYA;ROBERT WHITTAKER;12/02/2022;W;L;Decision - Unanimous;UFC Middleweight Title Bout;belt;48 48 49;47 47 46
DERRICK LEWIS;TAI TUIVASA;12/02/2022;L;W;KO/TKO;Heavyweight Bout;perf;10 10 10;9 9 9
JARED CANNONIER;DEREK BRUNSON;12/02/2022;W;L;KO/TKO;Middleweight Bout;perf;9 9 9;10 10 10
ALEXANDER HERNANDEZ;RENATO MOICANO;12/02/2022;L;W;Submission;Lightweight Bout;-;10 9 9;9 10 10
KING GREEN;NASRAT HAQPARAST;12/02/2022;W;L;Decision - Unanimous;Lightweight Bout;-;30 30 30;27 27 27
ANDREI ARLOVSKI;JARED VANDERAA;12/02/2022;W;L;Decision - Split;Heavyweight Bout;-;29 29 28;28 28 29
ROXANNE MODAFFERI;CASEY O'NEILL;12/02/2022;L;W;Decision - Split;Women's Flyweight Bout;-;28 28 29;29 29 28
KYLER PHILLIPS;MARCELO ROJO;12/02/2022;W;L;Submission;Bantamweight Bout;-;20 20 20;18 18 18
CARLOS ULBERG;FABIO CHERANT;12/02/2022;W;L;Decision - Unanimous;Light Heavyweight Bout;-;30 30 30;27 27 27
MANA MARTINEZ;RONNIE LAWRENCE;12/02/2022;L;W;Decision - Unanimous;Bantamweight Bout;-;27 27 28;29 29 29
AJ DOBSON;JACOB MALKOUN;12/02/2022;L;W;Decision - Unanimous;Middleweight Bout;-;28 28 28;29 29 29
DOUGLAS SILVA DE ANDRADE;SERGEY MOROZOV;12/02/2022;W;L;Submission;Bantamweight Bout;fight;9 9 8;10 10 10
JEREMIAH WELLS;BLOOD DIAMOND;12/02/2022;W;L;Submission;Welterweight Bout;-;- - -;- - -
WILLIAM KNIGHT;MAXIM GRISHIN;12/02/2022;L;W;Decision - Unanimous;Heavyweight Bout;-;27 27 27;30 30 30
JACK HERMANSSON;SEAN STRICKLAND;05/02/2022;L;W;Decision - Split;Middleweight Bout;-;46 48 46;49 47 49
PUNAHELE SORIANO;NICK MAXIMOV;05/02/2022;L;W;Decision - Split;Middleweight Bout;-;29 27 28;28 30 29
SHAVKAT RAKHMONOV;CARLSTON HARRIS;05/02/2022;W;L;KO/TKO;Welterweight Bout;perf;- - -;- - -
SAM ALVEY;BRENDAN ALLEN;05/02/2022;L;W;Submission;Light Heavyweight Bout;-;9 9 9;10 10 10
TRESEAN GORE;BRYAN BATTLE;05/02/2022;L;W;Decision - Unanimous;Middleweight Bout;-;28 28 28;29 29 29
JULIAN EROSA;STEVEN PETERSON;05/02/2022;W;L;Decision - Split;Featherweight Bout;fight;28 29 29;29 28 28
MILES JOHNS;JOHN CASTANEDA;05/02/2022;L;W;Submission;Bantamweight Bout;-;18 18 18;20 20 20
HAKEEM DAWODU;MICHAEL TRIZANO;05/02/2022;W;L;Decision - Unanimous;Featherweight Bout;-;30 30 30;27 27 27
CHIDI NJOKUANI;MARC-ANDRE BARRIAULT;05/02/2022;W;L;KO/TKO;Middleweight Bout;perf;- - -;- - -
ALEXIS DAVIS;JULIJA STOLIARENKO;05/02/2022;W;L;Decision - Unanimous;Women's Bantamweight Bout;-;29 29 30;27 27 27
JAILTON ALMEIDA;DANILO MARQUES;05/02/2022;W;L;KO/TKO;Light Heavyweight Bout;-;- - -;- - -
JASON WITT;PHIL ROWE;05/02/2022;L;W;KO/TKO;Welterweight Bout;-;10 10 10;9 9 9
MALCOLM GORDON;DENYS BONDAR;05/02/2022;W;L;KO/TKO;Flyweight Bout;-;- - -;- - -
FRANCIS NGANNOU;CIRYL GANE;22/01/2022;W;L;Decision - Unanimous;UFC Heavyweight Title Bout;belt;48 49 48;47 46 47
BRANDON MORENO;DEIVESON FIGUEIREDO;22/01/2022;L;W;Decision - Unanimous;UFC Flyweight Title Bout;belt;47 47 47;48 48 48
